date,humidity,temperature_f,station_pressure,wind_speed_mph,precipitation_in
2010-01-01T04:51:00Z,92,33,29.93,0,0
2010-01-02T03:51:00Z,72,30,29.67,23,0
2010-01-02T15:51:00Z,48,26,29.630000000000003,28,0
2010-01-02T16:51:00Z,48,24,29.64,31,0
2010-01-07T13:51:00Z,48,39,29.84,16,0
2010-01-08T10:51:00Z,75,32,29.69,7,0
2010-01-10T02:51:00Z,49,16,30.2,9,0
2010-01-13T09:51:00Z,49,28,30.21,14,0
2010-01-15T23:51:00Z,57,41,30.19,10,0
2010-01-16T03:51:00Z,58,40,30.19,13,0
2010-01-16T06:51:00Z,60,39,30.18,14,0
2010-01-18T15:51:00Z,55,49,29.8,11,0
2010-01-20T12:51:00Z,42,43,29.9,13,0
2010-01-21T13:51:00Z,38,42,30.14,5,0
2010-01-22T11:51:00Z,33,42,29.88,16,0
2010-01-23T05:51:00Z,69,28,30.21,10,0
2010-01-23T06:51:00Z,72,27,30.23,8,0
2010-01-23T22:51:00Z,72,31,30.279999999999998,3,0
2010-01-24T14:51:00Z,83,44,30.03,7,0
2010-01-24T17:51:00Z,90,45,30,7,0
2010-01-24T22:51:00Z,90,47,29.9,11,0
2010-01-25T05:51:00Z,93,50,29.64,26,0
2010-01-25T12:42:00Z,94,54,29.24,41,0.08
2010-01-25T19:51:00Z,83,48,29.36,13,0
2010-01-26T13:51:00Z,40,43,29.66,23,0
2010-01-28T02:51:00Z,72,28,30.130000000000003,6,0
2010-01-28T07:42:00Z,65,34,30.07,9,0
2010-01-29T10:51:00Z,33,21,30.27,17,0
2010-01-30T03:51:00Z,43,16,30.279999999999998,21,0
2010-01-30T15:51:00Z,41,19,30.12,13,0
2010-01-30T22:51:00Z,45,19,29.979999999999997,16,0
2010-01-30T23:51:00Z,45,19,29.97,16,0
2010-01-31T05:51:00Z,45,16,30.04,18,0
2010-01-31T08:51:00Z,41,18,30.1,11,0
2010-02-02T20:51:00Z,61,31,30.150000000000002,5,0
2010-02-03T04:51:00Z,88,28,30.03,7,0
2010-02-03T23:51:00Z,54,32,30.14,14,0
2010-02-06T14:51:00Z,51,26,29.630000000000003,28,0
2010-02-07T05:51:00Z,56,17,29.86,16,0
2010-02-10T14:36:00Z,100,30,,28,0.03
2010-02-11T00:46:00Z,87,34,29.3,28,0
2010-02-11T01:51:00Z,89,34,29.34,20,0
2010-02-12T01:51:00Z,60,26,29.759999999999998,11,0
2010-02-12T13:51:00Z,42,35,29.779999999999998,13,0
2010-02-15T00:51:00Z,64,31,29.72,18,0
2010-02-16T00:51:00Z,92,32,29.59,9,0.03
2010-02-17T06:51:00Z,72,27,29.6,11,0
2010-02-17T16:51:00Z,56,34,29.49,16,0
2010-02-17T20:26:00Z,70,34,29.5,15,0
2010-02-18T00:51:00Z,69,32,29.479999999999997,21,0
2010-02-18T11:51:00Z,57,39,29.57,18,0
2010-02-20T15:51:00Z,49,44,29.89,18,0
2010-02-20T17:51:00Z,53,42,29.91,13,0
2010-02-23T10:16:00Z,87,37,29.82,14,0.02
2010-02-23T14:51:00Z,89,39,29.779999999999998,15,0.01
2010-02-25T08:51:00Z,93,36,29.479999999999997,10,0.09
2010-02-25T09:51:00Z,93,35,29.5,6,0.1
2010-02-28T08:51:00Z,78,35,29.610000000000003,7,0
2010-03-01T04:51:00Z,62,37,29.6,17,0
2010-03-01T05:51:00Z,62,37,29.6,18,0
2010-03-01T10:51:00Z,51,44,29.66,28,0
2010-03-01T14:51:00Z,44,49,29.69,23,0
2010-03-02T05:51:00Z,75,34,29.87,7,0
2010-03-02T10:51:00Z,50,47,29.9,6,0
2010-03-02T11:51:00Z,50,46,29.88,3,0
2010-03-03T08:51:00Z,85,35,29.58,18,0.01
2010-03-03T09:51:00Z,86,36,29.57,26,0
2010-03-04T06:51:00Z,59,37,29.630000000000003,14,0
2010-03-04T19:51:00Z,45,42,29.79,23,0
2010-03-04T20:51:00Z,47,41,29.8,18,0
2010-03-05T13:51:00Z,25,48,29.919999999999998,21,0
2010-03-05T20:51:00Z,35,40,30.03,18,0
2010-03-06T20:51:00Z,20,48,30.04,15,0
2010-03-08T14:51:00Z,24,62,29.779999999999998,20,0
2010-03-09T12:51:00Z,26,60,29.93,16,0
2010-03-09T14:51:00Z,24,61,29.91,13,0
2010-03-09T22:51:00Z,76,42,29.97,3,0
2010-03-10T22:51:00Z,73,44,30.03,6,0
2010-03-13T10:51:00Z,83,50,29.759999999999998,31,0.03
2010-03-14T21:51:00Z,86,43,29.52,17,0
2010-03-14T22:51:00Z,79,44,29.52,21,0
2010-03-16T10:51:00Z,24,55,29.939999999999998,17,0
2010-03-17T10:51:00Z,24,60,30.01,3,0
2010-03-17T22:51:00Z,71,44,29.88,7,0
2010-03-19T10:51:00Z,20,66,29.85,6,0
2010-03-20T17:51:00Z,51,55,29.979999999999997,22,0
2010-03-21T01:51:00Z,71,47,30.06,3,0
2010-03-21T13:51:00Z,60,57,30.05,8,0
2010-03-21T19:51:00Z,77,50,30.03,5,0
2010-03-22T06:51:00Z,93,50,30.01,3,0
2010-03-22T11:51:00Z,93,53,29.97,11,0
2010-03-22T22:43:00Z,94,52,29.650000000000002,21,0.19
2010-03-23T01:23:00Z,94,48,29.64,16,0.01
2010-03-23T09:51:00Z,86,49,29.55,6,0
2010-03-24T08:51:00Z,50,48,29.74,25,0
2010-03-24T17:51:00Z,20,59,29.89,22,0
2010-03-25T13:51:00Z,63,50,29.830000000000002,18,0
2010-03-26T03:01:00Z,82,50,29.58,16,0
2010-03-26T04:51:00Z,79,44,29.66,23,0.02
2010-03-26T20:51:00Z,31,38,30.07,18,0
2010-03-27T12:51:00Z,36,38,30.41,10,0
2010-03-28T13:51:00Z,80,45,30.2,16,0.01
2010-03-30T05:51:00Z,93,44,29.52,21,0.23
2010-03-30T10:28:00Z,93,45,29.37,23,0.11
2010-04-02T14:51:00Z,58,58,30.18,9,0
2010-04-02T19:51:00Z,77,49,30.19,7,0
2010-04-02T21:51:00Z,80,48,30.19,6,0
2010-04-03T01:51:00Z,86,46,30.17,0,0
2010-04-03T20:51:00Z,97,45,30.08,10,0
2010-04-04T09:51:00Z,63,61,30.14,7,0
2010-04-05T15:51:00Z,54,63,29.93,30,0
2010-04-06T06:51:00Z,87,56,29.919999999999998,3,0
2010-04-07T07:51:00Z,63,68,29.72,9,0
2010-04-08T03:51:00Z,84,56,29.67,6,0
